name,brand,category,barcode,vegNonVeg,available_quantities,ingredients,allergens,side_effects,harm_level,image_url
kapol surti Masala,kapol,masala,8904083600282,,"[""75g""]","[""Cumin"", ""Coriander"", ""Pomegranate Seeds"", ""Dry Mango"", ""Salt"", ""Black Pepper"", ""Chilly"", ""Asafoetida"", ""Turmeric.""]","[""-""]",[],,
Cashews,om,plant-based-foods-and-beverages,8906155440130,,"[""500g""]","[""Cashews""]","[""nuts""]",[],,
Bisleri,bisleri,beverages-and-beverages-preparations,8906017290996,,"[""300ml""]","[""TREATED WATER"", ""MINERALS (SALTS OF CALCIUM (1.0 mg)"", ""MAGNESIUM (0.5 mg) AND POTASSIUM (0.1 mg)).""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/601/729/0996/front_en.3.400.jpg
Chia seeds,tata-sampann,plant-based-foods-and-beverages,8904043906584,,"[""200g""]","[""Chia""]","[""-""]",[],,
Nuts About You Premium Almonds,aplus-foods,plant-based-foods-and-beverages,8904155829528,,"[""200g""]","[""Almond Kernels Net Wt.: 200 g""]","[""-""]",[],,
Dhani Pure Garam Masala,dhani-pure,plant-based-foods-and-beverages,8906159670571,,"[""100g""]","[""Cumin"", ""Cassia"", ""Dry Ginger"", ""Chillies"", ""Pepper Black"", ""Cloves"", ""Large Cardamom"", ""Cardamom"", ""Star Anise"", ""Cinnamon"", ""Coriander"", ""Iodised Salt (Not Curry Powder) Cassia Bark (Taj) Cinnamon (Dalchini)""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/615/967/0571/front_en.3.400.jpg
sorghum puff,slurrp-farm,snacks,8906131682059,,"[""20g""]","[""Ingredients Puff (90%) (millets (38%) (jowar"", ""foxtail millet)"", ""corn (21%)"", ""rice (15%)"", ""rice bran oil (16%)"", ""antioxidant (rosemary) [INS 392])"", ""seasoning (10%) (amchur"", ""cumin"", ""dried pomegranate seeds"", ""garam masala"", ""black pepper"", ""chilli"", ""desi khand"", ""iodised salt"", ""fructose"", ""black salt"", ""acidity regulator (citric acid) (INS 330)"", ""natural colors). Allergen Note: Made in a facility that processes wheat. May contain trace elements. Salety Advice: When feeding a child"", ""please ensure they are sitting down and are supervised to reduce the risk of choking.""]","[""-""]",[],,
Crunchem,Balaji Wafers,plant-based-foods-and-beverages,8906010502591,,"[""72g""]","[""POTATO (89%)"", ""EDIBLE VEGETABLE OIL (PALMOLEIN)"", ""EDIBLE COMMON SALT (0.4%).""]","[""-""]",[],,
West Indies' Hot 'n' Sweet Chilli,Lay's,plant-based-foods-and-beverages,8901491003124,,"[""90 g""]","[""Potato"", ""Edible Vegetable Oil Palmolein"", ""Sunflower Oil)"", ""*Seasoning (Sugar"", ""Maltodextrin"", ""lodised Salt"", ""Flavour (Natural and Nature Identical Flavouring Substances)"", ""~Spices & Condiments"", ""Flavour Enhancers (627 & 631)"", ""Edible Vegetable Oil (Palm"", ""Sunflower"", ""Peanut)"", ""Hydrolysed Vegetable Protein"", ""Anticaking Agent 551)"", ""Cocoa Solids"", ""Lactose). &quot"", ""As flavouring agent. ALLERGEN ADVICE: Contains Nut"", ""Milk"", ""Wheat Contains Onion and Garlic May Contain Sulphite""]","[""milk"", ""nuts"", ""peanuts""]",[],,https://images.openfoodfacts.org/images/products/890/149/100/3124/front_en.3.400.jpg
Desi Cow Milk,nandini,dairies,8906036674265,,"[""500ml""]","[""Milk Solids"", ""Vitamin A & Vitamin D.""]","[""milk""]",[],,
Peanut Butter Crunchy,pintola,plant-based-foods-and-beverages,8908010900964,,"[""510g""]","[""Peanuts (78%)"", ""Organic Jaggery (12%)"", ""Whey Protein Concentrate (European Origin) (10%)""]","[""milk"", ""peanuts""]",[],,
Pepsi Zero Sugar,pepsico-inc,beverages-and-beverages-preparations,8902080001828,,"[""400ml""]","[""Carbonated water"", ""color (150d)"", ""acidity regulators(338"", ""330)"", ""sweeteners(955"", ""950)"", ""preservative (211)"", ""caffeine (13mg/100g)"", ""flavour (natural flavouring substance)"", ""stabilizer (436)""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/208/000/1828/front_en.6.400.jpg
Knorr Schezwan Sauce 200 g,Knorr,condiments,8901030987007,,"[""200g""]","[""Water"", ""Vegetables&quot"", ""(Garlic - 9%"", ""Onion 1%)"", ""Sugar"", ""Soyabean Oil"", ""lodised Salt"", ""Chillies 4.4%"", ""Soybean Sauce"", ""Acidity Regulator - 260"", ""Stabilisers 1422"", ""415"", ""Spices & Condiments"", ""Firvour Enhancers - E627 & E631"", ""Natural Colour - 1501"", ""Preservative-211"", ""Natural Flavouring substance. Contains Soya and Gluten.""]","[""gluten"", ""soybeans""]",[],,
Fabsta Peanut Butter Creamy,tata,plant-based-foods-and-beverages,8904296902104,,"[""420g""]","[""Peanut (90%)"", ""Sugar"", ""Edible Vegetable Fat (Fully Hydrogenated Soyabean Oil)"", ""lodised Salt"", ""Emulsifier (INS 471).\nALLERGEN ADVICE: Contains Nut & Soy.""]","[""peanuts"", ""soybeans""]",[],,
